exercise_name,exercise_enum_int,exercise_category,exercise_category_enum_int
alternating_dumbbell_chest_press_on_swiss_ball,0,bench_press,0
barbell_bench_press,1,bench_press,0
barbell_board_bench_press,2,bench_press,0
barbell_floor_press,3,bench_press,0
close_grip_barbell_bench_press,4,bench_press,0
decline_dumbbell_bench_press,5,bench_press,0
dumbbell_bench_press,6,bench_press,0
dumbbell_floor_press,7,bench_press,0
incline_barbell_bench_press,8,bench_press,0
incline_dumbbell_bench_press,9,bench_press,0
incline_smith_machine_bench_press,10,bench_press,0
isometric_barbell_bench_press,11,bench_press,0
kettlebell_chest_press,12,bench_press,0
neutral_grip_dumbbell_bench_press,13,bench_press,0
neutral_grip_dumbbell_incline_bench_press,14,bench_press,0
one_arm_floor_press,15,bench_press,0
weighted_one_arm_floor_press,16,bench_press,0
partial_lockout,17,bench_press,0
reverse_grip_barbell_bench_press,18,bench_press,0
reverse_grip_incline_bench_press,19,bench_press,0
single_arm_cable_chest_press,20,bench_press,0
single_arm_dumbbell_bench_press,21,bench_press,0
smith_machine_bench_press,22,bench_press,0
swiss_ball_dumbbell_chest_press,23,bench_press,0
triple_stop_barbell_bench_press,24,bench_press,0
wide_grip_barbell_bench_press,25,bench_press,0
alternating_dumbbell_chest_press,26,bench_press,0
3_way_calf_raise,0,calf_raise,1
3_way_weighted_calf_raise,1,calf_raise,1
3_way_single_leg_calf_raise,2,calf_raise,1
3_way_weighted_single_leg_calf_raise,3,calf_raise,1
donkey_calf_raise,4,calf_raise,1
weighted_donkey_calf_raise,5,calf_raise,1
seated_calf_raise,6,calf_raise,1
weighted_seated_calf_raise,7,calf_raise,1
seated_dumbbell_toe_raise,8,calf_raise,1
single_leg_bent_knee_calf_raise,9,calf_raise,1
weighted_single_leg_bent_knee_calf_raise,10,calf_raise,1
single_leg_decline_push_up,11,calf_raise,1
single_leg_donkey_calf_raise,12,calf_raise,1
weighted_single_leg_donkey_calf_raise,13,calf_raise,1
single_leg_hip_raise_with_knee_hold,14,calf_raise,1
single_leg_standing_calf_raise,15,calf_raise,1
single_leg_standing_dumbbell_calf_raise,16,calf_raise,1
standing_barbell_calf_raise,17,calf_raise,1
standing_calf_raise,18,calf_raise,1
weighted_standing_calf_raise,19,calf_raise,1
standing_dumbbell_calf_raise,20,calf_raise,1
bob_and_weave_circle,0,cardio,2
weighted_bob_and_weave_circle,1,cardio,2
cardio_core_crawl,2,cardio,2
weighted_cardio_core_crawl,3,cardio,2
double_under,4,cardio,2
weighted_double_under,5,cardio,2
jump_rope,6,cardio,2
weighted_jump_rope,7,cardio,2
jump_rope_crossover,8,cardio,2
weighted_jump_rope_crossover,9,cardio,2
jump_rope_jog,10,cardio,2
weighted_jump_rope_jog,11,cardio,2
jumping_jacks,12,cardio,2
weighted_jumping_jacks,13,cardio,2
ski_moguls,14,cardio,2
weighted_ski_moguls,15,cardio,2
split_jacks,16,cardio,2
weighted_split_jacks,17,cardio,2
squat_jacks,18,cardio,2
weighted_squat_jacks,19,cardio,2
triple_under,20,cardio,2
weighted_triple_under,21,cardio,2
elliptical,22,cardio,2
spinning,23,cardio,2
pole_paddle_forward_wheelchair,24,cardio,2
pole_paddle_backward_wheelchair,25,cardio,2
pole_handcycle_forward_wheelchair,26,cardio,2
pole_handcycle_backward_wheelchair,27,cardio,2
pole_rainbow_wheelchair,28,cardio,2
double_punch_forward_wheelchair,29,cardio,2
double_punch_down_wheelchair,30,cardio,2
double_punch_sideways_wheelchair,31,cardio,2
double_punch_up_wheelchair,32,cardio,2
sit_ski_wheelchair,33,cardio,2
sitting_jacks_wheelchair,34,cardio,2
punch_forward_wheelchair,35,cardio,2
punch_down_wheelchair,36,cardio,2
punch_sideways_wheelchair,37,cardio,2
punch_up_wheelchair,38,cardio,2
punch_bag_wheelchair,39,cardio,2
pole_dd_ff_uu_wheelchair,40,cardio,2
butterfly_arms_wheelchair,41,cardio,2
punch,42,cardio,2
bar_holds,0,carry,3
farmers_walk,1,carry,3
farmers_walk_on_toes,2,carry,3
hex_dumbbell_hold,3,carry,3
overhead_carry,4,carry,3
dumbbell_waiter_carry,5,carry,3
farmers_carry_walk_lunge,6,carry,3
farmers_carry,7,carry,3
farmers_carry_on_toes,8,carry,3
cable_pull_through,0,chop,4
cable_rotational_lift,1,chop,4
cable_woodchop,2,chop,4
cross_chop_to_knee,3,chop,4
weighted_cross_chop_to_knee,4,chop,4
dumbbell_chop,5,chop,4
half_kneeling_rotation,6,chop,4
weighted_half_kneeling_rotation,7,chop,4
half_kneeling_rotational_chop,8,chop,4
half_kneeling_rotational_reverse_chop,9,chop,4
half_kneeling_stability_chop,10,chop,4
half_kneeling_stability_reverse_chop,11,chop,4
kneeling_rotational_chop,12,chop,4
